"cid","name","chamber","avg04","avg12","growth","chgpct","category","Origin","Source"
"N00001102","Velazquez, Nydia M (D-NY)","H","1805499","-510000","-2315499","-128.2",">100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003813","Visclosky, Pete (D-Ind)","H","390509","1348011","957502","245.2",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00009659","Vitter, David (R-La)","S","1241535","1633027","391492","31.5","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007690","Walden, Greg (R-Ore)","H","3933507","2781015","-1152492","-29.3","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00006690","Waters, Maxine (D-Calif)","H","2196012","964007","-1232005","-56.1","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002328","Watt, Melvin L (D-NC)","H","938023","929020","-9003","-1.0","0-50% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001861","Waxman, Henry A (D-Calif)","H","945013","1199010","253997","26.9","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00026163","Westmoreland, Lynn A (R-Ga)","H","7133502","291001","-6842501","-95.9","50-100% Loss","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003467","Whitfield, Ed (R-Ky)","H","2761024","3418026","657002","23.8","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00003280","Wicker, Roger (R-Miss)","S","282005","660508","378503","134.2",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00024809","Wilson, Joe (R-SC)","H","-348500","428000","776500","222.8",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00002073","Wolf, Frank R (R-Va)","H","476624","491454","14830","3.1","0-50% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007458","Woolsey, Lynn (D-Calif)","H","210507","381505","170998","81.2","50-100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00007724","Wyden, Ron (D-Ore)","S","1472005","7294025","5822020","395.5",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
"N00001817","Young, C W Bill (R-Fla)","H","40501","415501","375000","925.9",">100% Gain","Center for Responsive Politics","http://www.opensecrets.org/pfds/"
